57,"[@TheresYourDC, Family, guy, capable, excellence, https://t.co/f8hzOAa2Oi]"
58,"[@_neaux, _, lmao, https://t.co/PYnjNjqQOT]"
59,"[@kajor_das, Dowry, biggest, evil, KalyugaWarAgainstDowry, watchSadhna, TV, 07.30, pm, https://t.co/79oowSxB1d]"
60,"[penso, pk, thereFucking, mls]"
61,"[@syrbasketball, Syracuse, basketball, commitment, 2018, recruit, Robert, Braswell, @EvanDaniels, https://t.co/L9uNsgGKx7]"
62,"[@unfairunbalancd, @FoxNews, @robertjeffress, @netanyahu, @realDonaldTrump, @NextRevFNC, Super, fair, marginally, balance, https://t.co/k8lNAbWbRd]"
63,"[@MikeTokes, ACTION, CALIFORNIACorona, Victorville, voting, optOUT, California, unconstitutional, sancuary, city, law]"
64,"[@Phil_Lewis, _, i, n't, unsee, https://t.co/GyFMJgp9tQ]"
65,"[@Ibehotboytay, I, ready, long, lasting, relationship]"
66,"[I, liked, @YouTube, video, https://t.co/uj0l3coId8, What, Happens, 1, Million, Subscribers]"
67,"[@ErnieGnc, mothers, day, song, we, acknowledge, https://t.co/RGjWJgneOz]"
68,"[@spicythot, dads, ghetto, ass, nt, buy, toilet, paper, he, paper, towels, https://t.co/G1AnsPXN4W]"
69,"[@KevinHu63682270, @luminoussun, @003a04f8c2054b7, @Carrolka, @kathy101252, @Punkin682, @WTPatty, @BarbaraAcmephot, @Goodoz, https://t.co/VJeNe9rWCr]"
70,"[@pontea, _, one, phrase, what, kind, group, MONSTA, X, rainbow, We, 7, colors, our, group, HW3YearsWithMonst]"
71,"[@matthewamiller, US, companies, banned, selling, ZTE, it, violated, sanctions, Iran, which, administration, cla]"
72,"[@MullinDylan, wtf, world, coming]"
73,"[Chuck, extra, level, grimy, lately, public, humiliation, firing, Connerty, reminded, me, Giamatt, https://t.co/nmOxrABl5R]"
74,"[Canada, 15, 4.3, Stars, 31, Reviews, Pearl, Stud, Earrings, Sterling, Silver, Earrings, Stud, Freshwater, Details, 58, https://t.co/mw9gIIncm5]"
75,"[@peterquillsI, gamora, peter, parenting, baby, groot, cuteness, me, handle, https://t.co/ywjLaEsFOg]"
76,"[@JurryL212, @goldencgp, @ayeitsmaribel, @HoakeyPoakey, pretty, genius]"
77,"[I, thankful, God, love]"
78,"[@pancakeraichu, IT, LONG, TIME, AGO]"
79,"[@commie22, I, InOne]"
80,"[@AmberAW, Allison, BadenClays, parents, opened, regret, not, intervene, abusive, relationship, @ch]"
81,"[@TBLightning, outplayed, @Capitals, area, hockey, game, They, absolutely, deserve, t, https://t.co/XMXQFsid7G]"
82,"[@Moflo19, @myheroin1, @dani_pitter, I, snorted, I, not, breathe]"
83,"[@imartinezp, _, You, sweet]"
84,"[@iam_azizul, malaysian, no, matter, how, fluent, ur, english, time, where, u, slipped, la, end, sentence]"
85,"[who, i, speak]"
86,"[@WCXofficial, WCX, Coming, https://t.co/eYRMpES4wt]"
87,"[@amaniaIex, she, strong, hell, https://t.co/W24mCosGSc]"
88,"[@BTS_Billboard, YOUTUBE, DNA, @BTS_twt, 370, M, views, YouTube, It, 29.5, M, views, away, reaching, g]"
89,"[@cj_disabledVet, Yeah, I, thinkin, they, no, longer, togetheruntil, MSM, them, they, photoop, https://t.co/ktvquE4I4A]"
90,"[@2realmacdatfee, Girls, Spilling, fresh, tea, they, bestea, like, https://t.co/LhU3vVPNfJ]"
91,"[@Tummy_Wild, Damn, i, know, feeling, Feels, like, i, sleep]"
92,"[18, Wave, Dresswedgies, Post, hot, dresswedgies, https://t.co/FCZcbROEOX]"
93,"[@vantaekim, funny, year, we, freaking, worried, bts, stylists, makeup, artists, bts, look, weird]"
94,"[@lIMGWVIl, Retweet, you, followbackMGWV]"
95,"[@ThatThingTai, lil, pump, J, Cole, beef, continues, Rolling, Loud, win, https://t.co/744jNjbJ22]"
96,"[@serena_jillian, dogs, daycare, helped, me, Mothers, Day, present, I, not, crying, you, crying, https://t.co/pDQ4WHwUF5]"
97,"[I, little, miffed, I, n't, 4, 5, servants, Spirit, Summons, fgo]"
98,"[@paintedskies13, I, SWEAR]"
99,"[@dracomallfoys, when, u, know, alot, great, potential, you, stubborn, lazy, it, https://t]"
100,"[@imchook, when, two, friends, free, hang, https://t.co/wBfojakUXv]"
101,"[I, jealous, who, able, meet, greet, I, seriously, buying, MampG, pass, year, calgary, edmonton]"
102,"[@AHMalcolm, retweet, Pedigree, donate, one, bowl, dog, food, dogs, need, tweetforbowls, http://t.co/z4rmc2H]"
103,"[@TheOfficePosts, you, bad, day, funny, bloopers, Office, https://t.co/LakWh8Q4dh]"
104,"[@xBratPrincess, What, life, scent, perfect, Princess, toes, Especially, long, day, Sniff, right, toes]"
105,"[hopefully, summer, brings, me, happiness, nt]"
106,"[@MomentsES, @BTS_twt, revel, el, tracklist, de, su, nuevo, lbum, y, las, ARMYs, tienen, muchas, teoras, respecto, los, nombres, de, las, canciones]"
107,"[@irnstrvnge, peter, uwu, strange, stop, peter, w, tony, you, stupid, IDIOT, look, what, you, he, s, sad]"
108,[pockets]
109,"[@breannadache, nt, nigga, phone, ya, want, ya, feelings, hurt, s, bible, https://t.co/OgzNkStKqD]"
110,"[@jinpathy, bts, write, clich, songs, they, include, science, astrology, marine, biology, classical, literature, amp, greek]"
111,"[@ThomasNelson, @Franklin_Graham, Franklin, Graham, Bill, Clintons, affairs, 1998The, God, Bible, https://t.co/xZOrHnITRe]"
112,"[@Doughbvy, customers, wanna, right, bad, like, damn, clock, u, know]"
113,"[300, student, loan, payments, https://t.co/jcijqIoaCh]"
114,"[@blackbull2005, WHEN, YOU, STRETCHING, TIGHT, WHITE, GIRL, PUSSY, NIGHT, ROUND, ROUND, SESSION, CHECK, O]"
115,"[@IovefIu, me, care, free, fun, https://t.co/Jt5JDv1gy2]"
116,"[@teamfanster, 1, starFirst, method, press, heartn, icon, star, page, https://t.co/07vMxXsHF7]"
117,"[@drake_goodman, you, people, who, use, I, drunk, excuse, cheating, dumb, shit, you, fucking, p]"
118,"[@thatskami, 90s, early, 2000s, babies, ones, y, lt\3, https://t.co/iabaz9SrTj]"
119,"[@WS_HIPHOP, @lilpump, https://t.co/kErwFTgIeg, https://t.co/UepB2Aqyq3]"
120,"[I, realized, I, not, Mon, /, Tues, like, I, thought, I, MondayI, sad]"
121,"[@NaeNae816, you, sound, like, you, need, you, aight, https://t.co/XerEP3eRrI]"
122,"[@jhopesgalaxy, REMINDER, BILLBOARD, MUSIC, AWARDS, VOTING, CAREFUL, MANUALLY, HAND, WRITE, HASHTAGS, WHE]"
123,"[@ccJustice13, guy, who, trembled, fear, time, Trevor, came, near, you, main, https://t.co/hH6oQMRWac]"
124,"[zelinas, you, bad, day, Seth, freaking, Rollins, acting, like, child, when, it, comes, https://t.co/eNWV0ddotH]"
125,"[Angelus, video, lyrics, https://t.co/nS4Dkhm5gH, @YouTubeAngelus, video, lyrics]"
126,"[@asyrafmusa, _, hardest, Credit, azib4213, https://t.co/mL1xZ78Z1M]"
